"Misiunea / Statul";"Nr. SV";"Localitatea";"Adresa"
"Republica Austria";"38/1";"or. Viena (sediul misiunii)";"Löwengasse 47/ 10, 1030 Vienna"
"Republica Azerbaidjan";"38/2";"or. Baku (sediul misiunii)";"Pr. Huseyn Javid 520, bl.12, Baku, AZ1073 "
"Republica Belarus";"38/3";"or. Minsk (sediul misiunii)";"220030 or. Minsk, str. Belorusskaia nr. 2"
"Regatul Belgiei";"38/4";"or. Bruxelles (sediul misiunii)";"1050 Bruxelles, avenue Franklin Roosevelt 57"
;"38/5";"or. Bruxelles (sediul misiunii)";"1050 Bruxelles, avenue Franklin Roosevelt 57"
"Republica Bulgară";"38/6";"or. Sofia (sediul misiunii)";"Str. G.S. Rakovski 152, Sofia 1142"
"Canada";"38/7";"or. Ottawa, ON (sediul misiunii)";"275 Slater Street Suite 801 K1P5H9, Ottawa, ON"
;"38/8";"or. Calgary, AB";"North Glenmore Park Community Association, 2231 Longridge Drive SW Calgary, AB, T3E 5N5"
;"38/9";"or. Montreal, QC";"Hotel Terrasse Royal, 5225 Côte-des-Neiges, Montréal, QC H3T 1Y1"
;"38/10";"or. Toronto, ON";" 1170 Sheppard Avenue West, Unit 15, Toronto ON, M3K 2A3"
"Republica Cehă";"38/11";"or. Praga (sediul misiunii)";"Juárezova 14, 160 00 Praha 6 - Bubeneč"
"Republica Populară Chineză";"38/12";"or. Beijing (sediul misiunii)";"2-9-1 Ta Yuan Diplomatic Office Building, Liangmahe Nanlu nr.14, Chaoyang district, Beijing 100600"
"Republica Cipru";"38/13";"or. Limassol";"or. Limassol, str. Amerikanas nr.11, Municipalitatea Yermasoyia , CP 4060 (hotel Atlantica Miramare Beach)"
"Regatul Danemarcei";"38/14";"or. Copenhaga";"Aalborg University Copenhagen, A. C. Meyers Vænge 15, 2450 Copenhagen SV"
"Republica Elenă";"38/15";"or. Atena (sediul misiunii)";"or. Atena, sec. Nea Filothei, str. G. Bacou 20 C.P. 11524 "
"Confederația Elvețiană";"38/16";"or. Geneva (sediul misiunii)";"Avenue de France, 23, 1202 Geneva"
"Emiratele Arabe Unite";"38/17";"or. Abu Dhabi (sediul misiunii)";"Villa No. 20, Al Darahy st., Abu Dhabi"
"Republică Estonia";"38/18";"or. Tallinn (sediul misiunii)";"10117 Tallinn, Narva mnt 7, scara 3, et.5, off. 546"
"Federaţia Rusă";"38/19";"or. Moscova (sediul misiunii)";"Рождественка, 7, sediul Ambasadei RM"
;"38/20";"or. Moscova ";"Рождественка, 11/4, к.1,стр.4, МАУ"
;"38/21";"or. Moscova ";"Пушечная 9/6,стр.1, ЦДРИ"
;"38/22";"or. Moscova ";"Пофсоюзная, 154,к. 7, ОКГ Столица"
;"38/23";"or. Moscova ";"Калужское шоссе, 10, с. Мамыри"
;"38/24";"regiunea Moscova";"г.Мытищи, МЦ Импульс, Силикатная,12"
;"38/25";"regiunea Moscova";"г.Одинцово, Вокзальная, 5, школа нр.5"
;"38/26";"regiunea Moscova";"Московская обл. Ленинский г.о.,поселок развилка, 32.,Развиловская библиотека"
;"38/27";" regiunea Moscova";"г.Химки, Горшина,5а, школа нр.27"
;"38/28";"regiunea Moscova";"г.Чехов, Чехова, 45, КТЦ Дружба"
;"38/29";"regiunea Moscova";"г.Люберцы, Октябрьский проспект, 200,ДК"
;"38/30";"regiunea Moscova";"г.Красногорск, Игната Титова, 10, школа нр.19"
;"38/31";"or. Sankt-Petersburg";"Санкт Петербург, Мoховая, 15а, Дом национальностей"
;"38/32";"or. Sankt-Petersburg";"Санкт-Петербург,Смолячкова,13,ДК"
;"38/33";"or. Sankt-Petersburg";"Санкт-Петербург,Благодатная,20,Библиотека правовой и экономической информации"
;"38/34";"or. Tula";"or. Tula, Sala orășănească de concerte, str. Sovetskaya 2"
;"38/35";"or. Kaluga";"Калуга, Народный Дом, ул. Ленна 74"
"Republica Franceză";"38/36";"or. Paris și regiunea orașului Paris";"Ecole ARAGO, 87 bd Arago, 75014 Paris"
;"38/37";"or. Paris și regiunea orașului Paris";"16-20 rue des Batignolles, 75017 Paris (incinta Primăriei sectorul 17)"
;"38/38";"or. Paris și regiunea orașului Paris";"28-30 rue d'Aubervilliers, 75019 Paris"
;"38/39";"or. Paris și regiunea orașului Paris";"Salle Roger Delmas, 3 rue de Toulon,  94140 Alfortville"
;"38/40";"or. Paris și regiunea orașului Paris";"50, avenue de la Résistance, 93100 Montreuil"
;"38/41";"or. Paris și regiunea orașului Paris";"Espace Cocteau, 8, avenue Carnot, 94190 Villeneuve-Saint-Georges"
;"38/42";"or. Strasbourg ";"Villa Schutzenberger, 76 Allée de la Robertsau, 67000 Strasbourg"
;"38/43";"or. Bordeaux";"194/198, Avenue du Maréchal de Lattre de Tassigny, 33200 Bordeaux"
;"38/44";"or. Lyon";"1 rue de la pépinière Royale – 69009 Lyon"
;"38/45";"or. Nice";"1, Esplanade Kennedy, 06364 Nice Cedex 4"
"Republica Federală Germania";"38/46";"or. Berlin ";"Campus Rütli, Haus E, Rütlistraße 9, 12045 Berlin"
;"38/47";"or.Leipzig";"Stadtbüro Leipzig, Markgrafenstraße 3, 04109 Leipzig"
;"38/48";"or. Frankfurt pe Main ";"Pfaffenwiese 301, 65929 Frankfurt am Main, Centrul „Jahrhunderthalle”"
;"38/49";"or. Frankfurt pe Main ";"Pfaffenwiese 301, 65929 Frankfurt am Main, Centrul „Jahrhunderthalle”"
;"38/50";"or.Dusseldorf";"Brinckmannstraße 5, 40225 Düsseldorf"
;"38/51";"or.Bremen";"Radisson Blu Hotel, Boettcherstrasse 2, D. 28195 Bremen"
;"38/52";"or. Hamburg (consulatul onorific)";"Haldesdorferstraße 46, 22179 Hamburg"
;"38/53";"or. München ";"Alte Kongresshalle, Am Bavariapark 14, 80339 München"
;"38/54";"or. Stuttgart (consulatul onorific)";"Leitzstraße 45, 70469 Stuttgart"
" ";"38/55";"or. Hanovra";"Freizeitheim Linden Windheimstr. 4, 30451 Hannover"
" ";"38/56";"or. Nürnberg";"Willstätter-Gymnasium Innerer Laufer Platz 11, 90403 Nürnberg"
"Irlanda";"38/57";"or. Dublin ";"Royal Dublin Society, Hall 8C Simmonscourt, Simmonscourt Road, Dublin 4"
;"38/58";"or. Dublin ";"Royal Dublin Society, Hall 8C Simmonscourt, Simmonscourt Road, Dublin 4"
;"38/59";"or. Dublin ";"Royal Dublin Society, Hall 8C Simmonscourt, Simmonscourt Road, Dublin 4"
;"38/60";"or. Limerick";"Shannon Rowing Club,  Sarsfield Bridge, Limerick V94 TK37"
"Israel";"38/61";"or. Tel-Aviv ";"or. Tel Aviv, str. Ibn Gabirol 71 (Centrul Cultural Enav)"
;"38/62";"or. Așdod";"or. Așdod, strada Kakal 90א (alef)"
"Republica Italiană";"38/63";"or. Roma (sediul misiunii)";"Via Francesco Cherubini 27, Roma "
;"38/64";"or. Roma ";"Roma, Via Galilei 53-57 "
;"38/65";"or. Milano";"Via Tortona 27, Milano"
;"38/66";"or.Milano";"Via Boscovich 42, Milano"
;"38/67";"or. Padova ";"or. Padova, str. Milazzo, 22 (sediul consulatului)"
;"38/68";"or.Padova";"or. Padova, str. Diego Valeri, 17"
;"38/69";"or. Ancona";"Via della Montagnola 72"
;"38/70";"or. Bergamo";"Largo Roentgen 3"
;"38/71";"or. Bologna";"Via del Pilastro 2, Hotel Savoia"
;"38/72";"or.Piacenza";"Strada Val Nure 7, Piacenza, Hotel Best Western Park"
;"38/73";"or. Brescia";"Via Ziziola 91, intrarea din Via San Zeno 168"
;"38/74";"or. Ferrara";"Sala civica ""Nemesio Orsatti"", Pontelagoscuro, Via Risorgimento 4"
;"38/75";"or. Firenze";"Via Zanobi 55, Hotel Cellai"
;"38/76";"or. Genova";"Municipio VIII Medio Levante, in Via Mascherpa 34 r."
;"38/77";"or. Mantova";"Via Faccioto 7"
;"38/78";"or. Mestre";"Via Sernaglia 43"
;"38/79";"or. Modena";"Via Viterbo 80"
;"38/80";"or. Napoli";"piazza Municipio nr. 1, Palazzo San Giacomo"
;"38/81";"or. Parma";"Palazzetto dello Sport, via Silvio Pelico 14/A"
;"38/82";"or. Perugia";"Via Armando Diaz, 60, 06128 Perugia PG"
;"38/83";"or. Pesaro";"Piazza Europa n.16, Pesaro"
;"38/84";"or. Ravena";"Piazza Medaglie d'oro 4, piano 1"
;"38/85";"or. Reggio Emilia";"Via Jules Emile Massenet 19"
;"38/86";"or. Torino";"Via Millio 20"
;"38/87";"or. Torino";"Via Leoncavallo 23"
;"38/88";"or. Trento";"or. Trento, str. La Clarina, 2/1"
;"38/89";"or. Treviso";"or. Treviso, str. Terraglio, 140, Hotel Maggior Consiglio"
;"38/90";"or. Udine";"or. Udine, str. Pradamano, 21"
;"38/91";"or. Verona";"Palazzetto dello Sport di Verona , Piazzale Atleti Azzurri D'Italia, 1, "
;"38/92";"or. Vicenza";"or. Vicenza, str. Vaccari, 107"
;"38/93";"or. Rimini";"Via XXIII Settembre 1845, 124c, sala Celle"
"Japonia";"38/94";"or. Tokio (sediul misiunii)";"Kagurazaka Enoki Building, et. 3, Enoki-cho nr. 72, Shinjuku-ku, or. Tokio, codul poştal: 162-0806"
"Republica Letonia";"38/95";"or. Riga (sediul misiunii)";"Strēlnieku iela 1-1, LV – 1010, Riga, Republica Letonia"
"Republica Lituania";"38/96";"or. Vilnius (sediul misiunii)";"str. Miglos 61 A, Vilnius, LT-08102, Republica Lituania"
"Regatul Unit al Marii Britanii şi Irlandei de Nord";"38/97";"or. Londra ";"London Chigwell Prince Regent Hotel, Manor Rd, Woodford, Chigwell, Woodford Green IG8 8AE"
;"38/98";"or. Londra ";"Hilton London Kensington, 179-199 Holland Park Ave, Holland Park, London W11 4UL"
;"38/99";"or. Londra ";"CEME Conference Centre, Marsh Way, Rainham, Essex, RM13 8EU"
;"38/100";"or. Londra ";"CEME Conference Centre, Marsh Way, Rainham, Essex, RM13 8EU"
;"38/101";"or. Londra ";"London Chigwell Prince Regent Hotel, Manor Rd, Woodford, Chigwell, Woodford Green IG8 8AE"
;"38/102";"or. Londra ";"CEME Conference Centre, Marsh Way, Rainham, Essex, RM13 8EU"
;"38/103";"or. Birmingham ";"Levy UK at Villa Park, Home of Aston Villa Football Club Villa Park Birmingham B6 6HE"
;"38/104";"or. Glasgow";"Renfield Centre 260 Bath Street, Glasgow, G2 4JP"
;"38/105";"or. Manchester";"Novotel Manchester Centre, 21 Dickinson Street, Manchester M1 4LX"
;"38/106";"or. Northampton";"Restaurant ""Moldova"", str. 76-92 Great Russell Street, Northampton, NN1 3BU"
;"38/107";"or. Northampton";"Duston Community Centre Pendle Rd, Northampton NN5 6DT"
"Regatul Norvegiei";"38/108";"or. Oslo";"or. Oslo, Zahlkasserer Schafts plass 1, 0267"
"Republica Polonia";"38/109";"or. Varșovia (sediul misiunii)";"or. Varșovia (sediul misiunii) 02-710, str. Imielinska nr.1"
"Republica Portugheză";"38/110";"or. Lisabona (sediul misiunii)";"Rua Gonçalo Velho Cabral nr.31 și 31A,1400-188 (sediul misiunii diplomatice)"
;"38/111";"or. Portimao";"Praça da República, 25, 8500-540, „Junta de Freguesia de Portimão”"
;"38/112";"or. Setubal ";"Centro Multicultural, Rua Piteiras 12, 2910-638"
"Regatul Țărilor de Jos";"38/113";"or. Haga (sediul misiunii)";"str. Bezuidenhoutseweg 117, or. Haga"
"România";"38/114";"or. București ";"mun. București, str. Eugeniu Carada 1, sector 3 (sediul Biroului Electoral Central)"
;"38/115";"or. București ";"str. Stavropoleos, 6, (Incinta Autorității Electorale Permanente)"
;"38/116";"or. Iași ";"str. Vasile Conta 30 (Casa de Cultură a Studenților)"
;"38/117";"or. Bacău";"str. Calea Mărășești 157 (Incinta Universității Vasile Alecsandri)"
;"38/118";"or. Brașov";"str. Memorandumului nr. 39, Casa de Cultură a Studenţilor"
;"38/119";"or. Cluj-Napoca";"Casa de Cultură a Studenților, Piata ”Lucian Blaga” nr.1-3"
;"38/120";"or. Constanța";"Aleea Universității 1, incinta Universității ""Ovidius"", Bd. Mamaia 124"
;"38/121";"or. Craiova";"str. Alexandru Ioan Cuza nr. 13, Universitatea ”Craiova”"
;"38/122";"or. Galați";"str. Domnească 47, incinta Universității ""Dunărea de Jos"
;"38/123";"or. Sibiu";"str. Zaharia Boiu 1, Școala Gimnazială Regina Maria"
;"38/124";"or. Suceava";"str. Universității 13 , incinta Universității ""Ștefan cel Mare"""
;"38/125";"or. Timișoara";"Colegiul Național de Artă ”Ion Vidu”, str. Cluj nr.12"
"Regatul Spaniei";"38/126";"or. Madrid ";"Calle Cifuentes no. 5, distrito Villaverde, (edificio La Nave) CP 28021, or. Madrid"
;"38/127";"or. Barcelona";"Calle Comandante Benitez, no. 6, (edificio Centro Cívico Joan Oliver “Pere Quart”) CP 08028, Barcelona"
;"38/128";"or. Malaga";"Calle Concejal Muñoz Cerván no. 3, módulo 3 (edificio Tabacalera), Salón de Actos de Participación Ciudadana, CP 29004, Malaga"
;"38/129";"or. Santander";" Calle Alta, no. 133, (edificio Mercado México), CP 39008, Santander"
;"38/130";"or. Valencia";"Career de Rei Said, S/N, CP 46014, Valencia"
"Statele Unite ale Americii";"38/131";"or. Washington, DC (sediul misiunii)";"2101 S Street N.W., Washington DC 20008"
;"38/132";"or. New York, NY ";" 1827 Coney Island Ave, Brooklyn, NY 11230, Restaurant Moldova"
;"38/133";"or. Asheville, NC";" 22 Woodfin St, Asheville, NC 28801, Four Points by Sheraton Asheville Downtown Hotel"
;"38/134";"or. Atlanta, GA";"165 S Clayton St, Lawrenceville, GA 30046, Lawrenceville First Baptist Church"
;"38/135";"or. Boston, MA";"344 Watertown St, Newton, MA 02458, Restaurant Moldova"
;"38/136";"or. Chicago, IL";"7280 N Caldwell Ave, Niles, IL 60714, Logos Christian Academy (old location)"
;"38/137";"or. Dallas, TX";"5001 Whitestone Lane, Plano, TX 75024, Residence Inn by Marriot Dallas Plano/Legacy"
;"38/138";"or. Denver, CO";"1555 Jay St., Lakewood, CO, 80214, Romanian Orthodox Church St. John the Hozevite, (Biserica Ortodoxă Românească ""Sf. Ioan Hozevitul"")"
;"38/139";"or. Minneapolis, MN";"11801 Fountains Way N, Maple Grove, MN 55369, Holiday Inn Hotel & Suites at Arbor Lakes"
;"38/140";"or. Orlando, FL";"7500 Futures Drive, Orlando, FL 32819, Hampton Inn and Suites Orlando- John Young Parkway Hotel"
;"38/141";"or. Sacramento, CA";"4715 Manzanita Ave, Carmichael, CA 95608, Firebird Russian Restaurant"
;"38/142";"or. Seattle, WA";" 1050 Butte Ave SE, Sumner, WA 98390"
" ";"38/143";"or. Las Vegas, NV";"6787 W Gary Ave, Las Vegas, NV 89139"
"Statul Qatar";"38/144";"or. Doha (sediul misiunii)";"or. Doha, Vila 151, str. 826 Al Mabahej, Area 66, Statul Qatar"
"Regatul Suediei";"38/145";"or. Stockholm (sediul misiunii)";"str. Engelbrektsgatan 10, et. 3, 114 32 , Stockholm"
"Republica Turcia";"38/146";"or. Ankara (sediul misiunii)";"Hotel İçkale Ankara, Maltepe, Gazi Mustafa Kemal Blv. No:89, 06570 Çankaya/Ankara"
;"38/147";"or. Istanbul (sediul CG)";"or.Istanbul, Omer Avni Mah., Inonu, cad. № 18.D.1, Beyoglu"
"Ucraina";"38/148";"or. Kiev (sediul misiunii)";"01901, or. Kiev, str. Yagotinska 2, "
;"38/149";"or. Odessa (sediul consulatului)";"or. Odessa (sediul C) 65009, or Odesa, str. Posmitîi 2/2 ""B"""
"Republica Ungară";"38/150";"or. Budapesta (sediul misiunii)";"1024 Budapest, Ady Endre utca 16"